"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"219279_at",2.70906307420928,7.14429336078504,5.35697992623128,2.94741076839168e-07,3.66120418927106e-05,6.48154026348944,"DOCK10","55619","dedicator of cytokinesis 10"
"52078_at",-1.43145870598446,8.88610291106964,-5.35684698592678,2.94924485792752e-07,3.66120418927106e-05,6.48095408500865,"TMEM222","84065","transmembrane protein 222"
"203036_s_at",-2.5672608254535,4.05238005793126,-5.35542254198674,2.96896692415973e-07,3.67448111185747e-05,6.47467385564663,"MTSS1","9788","MTSS I-BAR domain containing 1"
"204037_at",2.54552390529119,9.2947157294299,5.35502306323634,2.97452092942173e-07,3.67448111185747e-05,6.47291279875813,"LPAR1","1902","lysophosphatidic acid receptor 1"
"217763_s_at",2.37661292492011,9.12398095794039,5.35027541444496,3.04130846763662e-07,3.74779921949519e-05,6.4519901893323,"RAB31","11031","RAB31, member RAS oncogene family"
"204610_s_at",-1.96956367372603,8.65089948008426,-5.34290669689284,3.14787229444579e-07,3.86169494104288e-05,6.41954178120801,"CCDC85B","11007","coiled-coil domain containing 85B"
"205155_s_at",-2.73612938756438,5.33143552394375,-5.3428260963189,3.14905779799731e-07,3.86169494104288e-05,6.41918702265405,"SPTBN2","6712","spectrin beta, non-erythrocytic 2"
"224462_s_at",-2.21571992809996,7.47648275009279,-5.3383806575898,3.2151211507192e-07,3.92638120493981e-05,6.39962635807038,"CHCHD6","84303","coiled-coil-helix-coiled-coil-helix domain containing 6"
"203612_at",-2.15952828115407,6.35676595287495,-5.33822974271425,3.21738742810686e-07,3.92638120493981e-05,6.39896250307045,"BYSL","705","bystin like"
"225037_at",-2.04143080724819,7.63389707093786,-5.33572357721614,3.25525070597166e-07,3.96299253216613e-05,6.38794008201845,"SLC35H1","51006","solute carrier family 35 member H1"
"204231_s_at",-2.23605301758738,6.72398333308672,-5.32949776927055,3.35119958163687e-07,4.06997132805012e-05,6.36057354950005,"FAAH","2166","fatty acid amide hydrolase"
"214110_s_at",-1.66477573451374,8.19364061288912,-5.32869639102079,3.36374844899378e-07,4.07539148023402e-05,6.35705255244257,"LSP1P5","645166","LSP1 pseudogene 5"
"207144_s_at",-2.30263748391886,6.71923728090356,-5.32809365949573,3.3732168452354e-07,4.07706240327841e-05,6.35440458381401,"CITED1","4435","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1"
"217943_s_at",-1.95581012552344,8.2168341973723,-5.32648785470914,3.3985696083431e-07,4.09570147679514e-05,6.34735083442574,"MAP7D1","55700","MAP7 domain containing 1"
"201500_s_at",-1.58482511951574,9.26040273674706,-5.32608930996798,3.40489061482345e-07,4.09570147679514e-05,6.34560038973899,"PPP1R11","6992","protein phosphatase 1 regulatory inhibitor subunit 11"
"209142_s_at",-1.97538459138026,8.28253328908384,-5.32355448565542,3.44536244729146e-07,4.13451696918897e-05,6.33446931178811,"UBE2G1","7326","ubiquitin conjugating enzyme E2 G1"
"206013_s_at",-3.21103732129258,6.2317668831032,-5.32146774621445,3.47903144810616e-07,4.16500389586695e-05,6.3253086173439,"ACTL6B","51412","actin like 6B"
